,0
0,0
1,0/1 knapsack problem
2,1
3,100BaseFX
4,100BaseT
5,100BaseTX
6,100BaseVG
7,100VG-AnyLAN
8,10base2
9,10base5
10,10baseT
11,120 reset
12,1-2-3
13,1394
14,1541
15,1581
16,16000
17,16450
18,16550
19,16550A
20,16650
21,16750C
22,16 bit
23,16-bit application
24,16C550
25,16C750
26,16C850
27,1802
28,192.168.1.1
29,1NF
30,1TBS
31,1.TR.6
32,2
33,20-GATE
34,2780
35,2B1D
36,2B1Q
37,2B+D
38,2NF
39,2.PAK
40,32000
41,3270
42,32-bit application
43,3780
44,386
45,386BSD
46,386SPART.PAR
47,386SX
48,3Com Corporation
49,3DNow!
50,3DNow! Professional
51,3DO
52,3GL
53,3NF
54,3Station
55,3-tier
56,404
57,4.2BSD
58,431A
59,4.3BSD
60,4510
61,473L Query
62,486
63,486DX
64,486SX
65,4GL
66,4NF
67,51forth
68,56 kbps
69,56k line
70,586
71,5ESS
72,5NF
73,5th Glove
74,6.001
75,610
76,6309
77,64-bit
78,6501
79,6502
80,650x
81,6510
82,6526
83,65816
84,6800
85,68000
86,68020
87,68030
88,68040
89,68050
90,68060
91,6809
92,680x0
93,686
94,68HC11
95,68LC040
96,6to4
97,6x86
98,754
99,80186
100,80188
101,80/20 rule
102,802.1
103,802.11a
104,802.11b
105,802.11g
106,802.2
107,802.3
108,80286
109,8031
110,80386
111,8048
112,80486
113,8051
114,8052
115,8080
116,8086
117,8088
118,80x86
119,822
120,82430FX
121,82430HX
122,82430MX
123,82430VX
124,8250
125,8.3
126,8450
127,8514
128,8514-A
129,88000
130,88open
131,8-bit clean
132,8N1
133,8 queens problem
134,8 queens puzzle
135,8x86
136,90-90 Rule
137,9PAC
138,A#
139,A-0
140,a1
141,A1 security
142,A20 handler
143,A-3
144,A3D
145,A4C
146,a56
147,AAC
148,AADL
149,AAL
150,AAP
151,AAP DTD
152,aard
153,AARP
154,AARP probe packets
155,AAUI
156,A&B
157,abbrev
158,Abbreviated Test Language for Avionics Systems
159,ABC
160,ABC ALGOL
161,ABCL/1
162,ABCL/c+
163,ABCL/R
164,ABCL/R2
165,abduction
166,ABEND
167,AberMUD
168,ABI
169,ABLE
170,ABM
171,ABNF
172,abort
173,ABP
174,ABR
175,abscissa
176,ABSET
177,absolute path
178,absolute pathname
179,abstract
180,abstract class
181,abstract data type
182,abstract interpretation
183,abstraction
184,abstract machine
185,Abstract Machine Notation
186,abstract syntax
187,Abstract Syntax Notation 1
188,abstract syntax tree
189,Abstract-Type and Scheme-Definition Language
190,Abstract Windowing Toolkit
191,Abstract Window Toolkit
192,ABSYS
193,AC2
194,AC3
195,ACA
196,ACAP
197,Accelerated Graphics Port
198,accelerator
199,Accent
200,accept
201,Acceptable Use Policy
202,acceptance testing
203,"Acceptance, Test Or Launch Language"
204,acceptor
205,Access
206,Access Control List
207,access method
208,access permission
209,access point
210,access time
211,ACCLAIM
212,Accounting File
213,accounting management
214,Account Representative
215,ACCU
216,accumulator
217,accuracy
218,ACE
219,ACF
220,ACF/NCP
221,ACIA
222,ACID
223,ACIS
224,ACK
225,ACL
226,ACM
227,ACME
228,ACOM
229,acorn
230,Acorn Archimedes
231,Acorn Computer Group
232,Acorn Computers Ltd.
233,Acorn Online Media
234,Acorn RISC Machine
235,A Coroutine Language
236,ACOS
237,acoustic coupler
238,ACP
239,ACPI
240,Acrobat
241,acronym
242,ACSE
243,ACT
244,ACT++
245,Act1
246,ACT 1
247,Act2
248,Act3
249,Actalk
250,Actis
251,activation record
252,active DBMS
253,Active Directory
254,Active Language I
255,active matrix display
256,Active Measurement Project
257,Active Monitor
258,active object
259,Active Reconfiguring Message
260,active record pattern
261,Active Server Pages
262,ActiveX
263,ActiveX Data Objects
264,ACT ONE
265,Actor
266,actor
267,Actors
268,actor/singer/waiter/webmaster
269,Actra
270,actual argument
271,Actus
272,AD
273,ad
274,Ada
275,Ada++
276,Ada 83
277,Ada 95
278,Ada 9X
279,ADABAS
280,Ada Core Technologies
281,Ada/Ed
282,Adaline
283,Ada Lovelace
284,ADAM
285,Adam7
286,Adamakegen
287,ADAMO
288,Adam Osborne
289,Ada-O
290,Adaplan
291,Adaplex
292,Ada Programming Support Environment
293,ADAPT
294,Adaptable User Interface
295,Adaptec
296,adaptive answering
297,Adaptive Communication Environment
298,Adaptive Digital Pulse Code Modulation
299,adaptive learning
300,adaptive routing
301,Adaptive Server Enterprise
302,Adaptive Simulated Annealing
303,Adaptive TRansform Acoustic Coding
304,Adaptor
305,Ada Semantic Interface Specification
306,Ada Software Repository
307,A Data Management System
308,ADC
309,ADCCP
310,A/D converter
311,ADCU
312,AD/Cycle
313,ADD 1 TO COBOL GIVING COBOL
314,ADDD
315,additive
316,address
317,address book
318,address bus
319,addressed call mode
320,addressee
321,addressing mode
322,address mask
323,address resolution
324,Address Resolution Protocol
325,address space
326,Address Strobe
327,ADELE
328,ADES
329,ad-hockery
330,ad-hoc polymorphism
331,Aditi
332,adjacency
333,adjacent
334,ADL
335,AdLog
336,ADM
337,ADMD
338,admin
339,Administration Management Domain
340,administrative distance
341,Administrative Domain
342,admissible
343,ADO
344,"Adobe Systems, Inc."
345,Adobe Type Manager
346,ADPCM
347,ADR
348,ADS
349,ADSL
350,ADSP
351,ADSU
352,ADT
353,Advanced Audio Coding
354,Advanced Communication Function/Network Control Program
355,Advanced Communications Function
356,Advanced Computing Environment
357,Advanced Configuration and Power Interface
358,Advanced Data Communications Control Protocol
359,Advanced Encryption Standard
360,Advanced Function Presentation
361,Advanced Function Printing
362,Advanced Intelligent Tape
363,Advanced Interactive eXecutive
364,"Advanced Micro Devices, Inc."
365,Advanced Network Systems Architecture
366,Advanced Peer-to-Peer Networking
367,Advanced Power Management
368,Advanced Programmable Interrupt Controller
369,Advanced Program-to-Program Communications
370,Advanced Research Projects Agency
371,Advanced Research Projects Agency Network
372,Advanced Revelation
373,Advanced RISC Computing Specification
374,Advanced RISC Machine
375,Advanced RISC Machines Ltd.
376,Advanced SCSI Peripheral Interface
377,Advanced Software Environment
378,Advanced STatistical Analysis Program
379,Advanced Technology Attachment
380,Advanced Technology Attachment Interface with Extensions
381,Advanced Video Coding
382,Advanced WavEffect
383,Advantage Gen
384,ADVENT
385,Adventure Definition Language
386,ADVSYS
387,adware
388,AE
389,ae
390,AED
391,AEGIS
392,Aegis
393,Aeolus
394,AEP
395,aeroplane rule
396,AES
397,AESOP
398,af
399,AFAC
400,AFAIK
401,affine transformation
402,affordance
403,AFIPS
404,AFJ
405,AFK
406,aflex
407,AFNOR
408,AFP
409,AFS
410,AFUU
411,ag
412,agent
413,aggregate type
414,aggregation
415,aggregator
